名稱,郵遞區號,地址,相對位置,營業時間,座標x,座標y,儲格數,櫃型,備註,付費方式
大溪僑愛活動中心ｉ郵箱,33500,桃園市大溪區僑愛一街69號,大門右側,24小時,121.293665,24.922852,30,四代櫃,(智慧郵筒),郵政金融卡/悠遊卡/一卡通/愛金卡
桃園府前郵局ｉ郵箱,33000,桃園市桃園區縣府路330號,大門右側,24小時,121.300610,24.992340,30,四代櫃,(智慧郵筒),郵政金融卡/悠遊卡/一卡通/愛金卡
蘆竹HVW經國方略ｉ郵箱,33800,桃園市蘆竹區經國路908號1樓,管理室右側,24小時,121.301060,25.033500,40,四代櫃,(智慧郵筒),郵政金融卡/悠遊卡/一卡通/愛金卡
龜山洗多屋洗衣店ｉ郵箱,33300,桃園市龜山區中山街8號,大門右側,24小時,121.337230,24.993060,40,四代櫃,(智慧郵筒),郵政金融卡/悠遊卡/一卡通/愛金卡
觀音建國路233號ｉ郵箱,32800,桃園市觀音區建國路233號,大門右側,24小時,121.120498,25.050569,30,四代櫃,(智慧郵筒),郵政金融卡/悠遊卡/一卡通/愛金卡
八德大安第二活動中心ｉ郵箱,33400,桃園市八德區建安街110號,大門右側,24小時,121.320805,24.951601,40,四代櫃,(智慧郵筒),郵政金融卡/悠遊卡/一卡通/愛金卡
開南大學ｉ郵箱,33800,桃園市蘆竹區開南路1號,行政大樓郵政ATM右側,24小時,121.269977,25.011127,40,四代櫃,(智慧郵筒),郵政金融卡/悠遊卡/一卡通/愛金卡
中壢Citywash洗衣店ｉ郵箱,32000,桃園市中壢區龍川街97號,店內左側,24小時,121.246780,24.934320,40,四代櫃,(智慧郵筒),郵政金融卡/悠遊卡/一卡通/愛金卡
楊梅台北比佛利曼哈頓ｉ郵箱,32600,桃園市楊梅區青山五街21號,利來福超市左側(青山五街２１號大門左側),24小時,121.171065,24.920340,30,四代櫃,(智慧郵筒),郵政金融卡/悠遊卡/一卡通/愛金卡
北捷松山站ｉ郵箱,10500,臺北市松山區八德路4段742號(近3、4號出口),往出口3及出口4通道,06:00-24:00,121.577530,25.049885,40,四代櫃,(智慧郵筒),郵政金融卡/悠遊卡/一卡通/愛金卡
北捷龍山寺站ｉ郵箱,10800,臺北市萬華區西園路1段153號(龍山寺地下街入口旁),龍山寺地下街入口旁,06:00-24:00,121.500225,25.035839,30,四代櫃,(智慧郵筒),郵政金融卡/悠遊卡/一卡通/愛金卡
臺北保安郵局ｉ郵箱,10300,臺北市大同區重慶北路2段183號,局內右側,24小時,121.513758,25.059877,20,四代櫃,(智慧郵筒),郵政金融卡/悠遊卡/一卡通/愛金卡
北捷善導寺站ｉ郵箱,10000,臺北市中正區忠孝東路1段58號B1(近出口4),出口4通道,06:00-24:00,121.524244,25.044290,40,四代櫃,(智慧郵筒),郵政金融卡/悠遊卡/一卡通/愛金卡
北捷忠孝敦化站ｉ郵箱,10600,臺北市大安區忠孝東路4段182號(近4號出口),近4號出口,06:00-24:00,121.551406,25.041368,40,四代櫃,(智慧郵筒),郵政金融卡/悠遊卡/一卡通/愛金卡
內湖福華商場ｉ郵箱,11400,臺北市內湖區民權東路6段180巷6號,7-11超商對面,24小時,121.590221,25.068309,40,四代櫃,(智慧郵筒),郵政金融卡/悠遊卡/一卡通/愛金卡
